❯ poetry run python -m deriv8
Loading data...
Using 60000/60000 random training examples and 10000/10000 random test examples
Preparing data...
Training 120 mini-batches of size 500 for 20 epochs
epoch: 0
 batch: 114/120  training loss: 0.52  train accuracy: 82.60%  duration: 7.55s
 batch: 115/120  training loss: 0.59  train accuracy: 83.80%  duration: 7.66s
 batch: 116/120  training loss: 0.49  train accuracy: 86.20%  duration: 8.09s
 batch: 117/120  training loss: 0.47  train accuracy: 86.40%  duration: 7.91s
 batch: 118/120  training loss: 0.54  train accuracy: 84.80%  duration: 7.59s
 batch: 119/120  training loss: 0.59  train accuracy: 83.60%  duration: 7.54s
 batch: 120/120  training loss: 0.51  train accuracy: 84.40%  duration: 8.05s
 test accuracy: 85.42%  duration: 1007.67s (test: 57.19s)
epoch: 2
 batch: 1/120  training loss: 0.44  train accuracy: 88.80%  duration: 7.83s
 batch: 2/120  training loss: 0.52  train accuracy: 85.20%  duration: 8.70s
 batch: 3/120  training loss: 0.55  train accuracy: 83.00%  duration: 8.76s
 batch: 4/120  training loss: 0.49  train accuracy: 85.60%  duration: 9.20s
 batch: 5/120  training loss: 0.56  train accuracy: 82.80%  duration: 8.93s
 batch: 6/120  training loss: 0.59  train accuracy: 82.60%  duration: 9.08s
 batch: 7/120  training loss: 0.50  train accuracy: 85.60%  duration: 8.48s
 batch: 8/120  training loss: 0.50  train accuracy: 82.60%  duration: 8.65s
 batch: 9/120  training loss: 0.52  train accuracy: 83.80%  duration: 8.37s
 batch: 10/120  training loss: 0.49  train accuracy: 84.60%  duration: 8.06s
 batch: 11/120  training loss: 0.50  train accuracy: 86.00%  duration: 7.98s
 batch: 12/120  training loss: 0.52  train accuracy: 85.20%  duration: 8.08s
 batch: 13/120  training loss: 0.46  train accuracy: 86.40%  duration: 7.70s
 batch: 14/120  training loss: 0.56  train accuracy: 84.00%  duration: 7.85s
 batch: 15/120  training loss: 0.53  train accuracy: 84.40%  duration: 7.96s
 batch: 16/120  training loss: 0.58  train accuracy: 82.80%  duration: 7.99s
 batch: 17/120  training loss: 0.51  train accuracy: 85.40%  duration: 8.09s
 batch: 18/120  training loss: 0.55  train accuracy: 83.60%  duration: 8.41s
 batch: 19/120  training loss: 0.46  train accuracy: 86.40%  duration: 7.79s
 batch: 20/120  training loss: 0.52  train accuracy: 84.20%  duration: 7.92s
 batch: 21/120  training loss: 0.52  train accuracy: 82.60%  duration: 7.91s
 batch: 22/120  training loss: 0.54  train accuracy: 83.80%  duration: 7.94s
 batch: 23/120  training loss: 0.50  train accuracy: 84.60%  duration: 8.18s
 batch: 24/120  training loss: 0.52  train accuracy: 84.40%  duration: 8.38s
 batch: 25/120  training loss: 0.50  train accuracy: 86.20%  duration: 7.71s
 batch: 26/120  training loss: 0.53  train accuracy: 85.20%  duration: 8.27s
 batch: 27/120  training loss: 0.50  train accuracy: 84.40%  duration: 8.11s
 batch: 28/120  training loss: 0.51  train accuracy: 84.00%  duration: 7.98s
 batch: 29/120  training loss: 0.44  train accuracy: 87.40%  duration: 7.72s
 batch: 30/120  training loss: 0.56  train accuracy: 85.20%  duration: 8.03s
 batch: 31/120  training loss: 0.45  train accuracy: 86.60%  duration: 7.82s
 batch: 32/120  training loss: 0.55  train accuracy: 85.20%  duration: 7.92s
 batch: 33/120  training loss: 0.54  train accuracy: 84.40%  duration: 8.01s
 batch: 34/120  training loss: 0.50  train accuracy: 84.80%  duration: 8.18s
 batch: 35/120  training loss: 0.61  train accuracy: 80.20%  duration: 8.65s
 batch: 36/120  training loss: 0.42  train accuracy: 87.60%  duration: 8.66s
 batch: 37/120  training loss: 0.46  train accuracy: 88.20%  duration: 8.65s
